"scope","metric","n_mut","n_wt","median_mut","median_wt","delta","ci_lo","ci_hi","wilcox_p","effect_r","lm_beta","lm_p","lm_r2adj","comparison","analysis","drug","drug_combo"
"gastric","Delta_MaxE_AZD0156",45,9,0.397290758197489,0.402777075859358,0.0230076255616699,-0.104252398755726,0.14323419201869,0.889243018241451,-0.0320987654320988,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD1775",NA,"AZD0156+AZD1775"
"pancancer","Bliss_window",474,231,0.0686757169041118,0.0603726608549976,0.00527129744185247,-0.00553806674288802,0.0163528904587781,0.173058348880181,-0.0631724112736771,0.00699925671567479,0.240512279637135,0.0338707612692298,NA,"PRISM_Combo_AZD0156+AZD6738",NA,"AZD0156+AZD6738"
"gastric","Bliss_window",45,9,0.0787153551174756,0.11309466710621,-0.0151202193103882,-0.0610140693131111,0.0311969674009205,0.500883502358713,0.145679012345679,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD6738",NA,"AZD0156+AZD6738"
"pancancer","HSA_window",474,231,0.087292831343612,0.08277181481051,0.00433752260576305,-0.00706257086643431,0.016097707650956,0.307140407777671,-0.0473541929238133,0.00540844709262472,0.386847284595351,0.0423230435041709,NA,"PRISM_Combo_AZD0156+AZD6738",NA,"AZD0156+AZD6738"
"gastric","HSA_window",45,9,0.0995451700860748,0.146558650417101,-0.0125128589262225,-0.0607804281184618,0.0364175054355894,0.561740070697009,0.125925925925926,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD6738",NA,"AZD0156+AZD6738"
"pancancer","combo_MaxE",474,231,0.671307365812367,0.717093835832808,-0.0200553811745248,-0.0562648517415038,0.018090989902794,0.221043693841145,0.0567428352238479,0.00889616659439169,0.623097156601773,0.228981285734716,NA,"PRISM_Combo_AZD0156+AZD6738",NA,"AZD0156+AZD6738"
"gastric","combo_MaxE",45,9,0.691203021930805,0.63904922695336,0.041462848431556,-0.0900089888921592,0.184331414883823,0.530869303968508,-0.135802469135802,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD6738",NA,"AZD0156+AZD6738"
"pancancer","Delta_MaxE_AZD0156",474,231,0.519858016579373,0.523505072166961,-0.00252250677297883,-0.037082797274373,0.0326633856772714,0.823227001311982,0.0103658647962446,0.0243991227661029,0.1804563102546,0.121182935705937,NA,"PRISM_Combo_AZD0156+AZD6738",NA,"AZD0156+AZD6738"
"gastric","Delta_MaxE_AZD0156",45,9,0.521120821889416,0.555130007395528,-0.0022926126558831,-0.13320208708207,0.133662139607675,0.962974931502455,-0.0123456790123457,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD6738",NA,"AZD0156+AZD6738"
"pancancer","Bliss_window",474,231,0.0390188766058284,0.0442478402871274,-0.00394840965645245,-0.0150534215585106,0.00725008335190934,0.387784673734892,0.0400478565035527,-0.00278493050209293,0.630330468085196,0.13421274701387,NA,"PRISM_Combo_AZD0156+AZD2811",NA,"AZD0156+AZD2811"
"gastric","Bliss_window",45,9,0.0322541097982994,0.0596630560850599,-0.0463969549455021,-0.105005068432463,0.0121517438533174,0.236520727462155,0.254320987654321,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD2811",NA,"AZD0156+AZD2811"
"pancancer","HSA_window",474,231,0.0470549594147835,0.0532072807832926,-0.00553411526558589,-0.0178441704810061,0.00670276269042716,0.307327067499179,0.0473359270827626,-0.00488476838402323,0.441429004345431,0.141605753215045,NA,"PRISM_Combo_AZD0156+AZD2811",NA,"AZD0156+AZD2811"
"gastric","HSA_window",45,9,0.032594545549031,0.0605575769946161,-0.0467393529190687,-0.109519896017695,0.0172381585647956,0.318257427911468,0.214814814814815,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD2811",NA,"AZD0156+AZD2811"
"pancancer","combo_MaxE",474,231,0.232074639989101,0.265624701717139,-0.0337407675483066,-0.0738141845927795,0.00463457866344837,0.0688683915597047,0.0843516539719071,-0.0258933167894885,0.174226837937756,0.224046744331697,NA,"PRISM_Combo_AZD0156+AZD2811",NA,"AZD0156+AZD2811"
"gastric","combo_MaxE",45,9,0.204234209832817,0.237731379793772,-0.0354546305099026,-0.211901503089191,0.119049670674129,0.710365194579676,0.0814814814814815,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD2811",NA,"AZD0156+AZD2811"
"pancancer","Delta_MaxE_AZD0156",474,231,0.125107087206762,0.151579744135445,-0.0197642732541446,-0.0553073586711004,0.0140931908970649,0.0821552197717141,0.0805980236359983,-0.0129450157633014,0.461276533853414,0.16324813673593,NA,"PRISM_Combo_AZD0156+AZD2811",NA,"AZD0156+AZD2811"
"gastric","Delta_MaxE_AZD0156",45,9,0.110278142731731,0.170399085864892,-0.0450794137915272,-0.223471033059238,0.104915457915058,0.780609952763313,0.0617283950617284,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD2811",NA,"AZD0156+AZD2811"
"pancancer","Bliss_window",475,231,0.0634248558369523,0.0548677858701858,0.00741534404189773,0.00151013242332567,0.0130990050209846,0.00875267054681054,-0.121503759398496,0.0087209553368204,0.0068390528576703,0.0274415218928845,NA,"PRISM_Combo_AZD0156+AZD7648",NA,"AZD0156+AZD7648"
"gastric","Bliss_window",45,9,0.0583343614942649,0.0476267022983448,0.0096717485860086,-0.00610904852861215,0.0264734645812681,0.275322764748368,-0.234567901234568,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD7648",NA,"AZD0156+AZD7648"
"pancancer","HSA_window",475,231,0.0737774528425568,0.0676376725325543,0.00427677337567611,-0.00187722422703924,0.0102005609775635,0.154231509403869,-0.0660378218272955,0.00612808896624924,0.0597470910384089,0.0270370290720789,NA,"PRISM_Combo_AZD0156+AZD7648",NA,"AZD0156+AZD7648"
"gastric","HSA_window",45,9,0.0700106801342947,0.0567137786005072,0.0172481728896679,0.000605421461047433,0.034778961142906,0.0946929425994759,-0.358024691358025,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD7648",NA,"AZD0156+AZD7648"
"pancancer","combo_MaxE",475,231,0.288243340704612,0.307105453016527,-0.0176901255344082,-0.0378128615345354,0.00188052949224577,0.107486133490996,0.074604693552062,-0.0089955631354352,0.383582555259024,0.0994272930371698,NA,"PRISM_Combo_AZD0156+AZD7648",NA,"AZD0156+AZD7648"
"gastric","combo_MaxE",45,9,0.270290226277611,0.215610651423998,0.0343609087401701,-0.0453158551846065,0.113830852852884,0.577494293365421,-0.120987654320988,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD7648",NA,"AZD0156+AZD7648"
"pancancer","Delta_MaxE_AZD0156",475,231,0.156106431481341,0.157508764503622,-0.00432234041738758,-0.0197214675126855,0.0119734168972975,0.604334261075562,0.0240236956026429,-0.000976986527631169,0.912756647739549,0.0336877241404437,NA,"PRISM_Combo_AZD0156+AZD7648",NA,"AZD0156+AZD7648"
"gastric","Delta_MaxE_AZD0156",45,9,0.145417672054906,0.142145080374122,-0.0343275110488477,-0.102418019974773,0.0314816122381,0.341287441963186,0.204938271604938,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD7648",NA,"AZD0156+AZD7648"
